# Solutions to Equation 26 of Laundal et al. (2022, https://doi.org/10.1029/2022JA030356)
# which gives maximum plasma production q' as a function of solar zenith angle chi.
# Solutions from Lompe (Laundal et al., https://doi.org/10.5281/zenodo.5973739), assuming:
# n(z)        =  1e13 m^-3
# z0          =   500 km
# H           =    50 km
# tau(z, chi) = 1e-20 m^-2
chi,q_dash
33.5,0.836570
33.6,0.835622
33.7,0.834672
33.8,0.833720
33.9,0.832765
34.0,0.831808
34.1,0.830848
34.2,0.829886
34.3,0.828921
34.4,0.827954
34.5,0.826984
34.6,0.826012
34.7,0.825038
34.8,0.824061
34.9,0.823082
35.0,0.822100
35.1,0.821116
35.2,0.820129
35.3,0.819140
35.4,0.818149
35.5,0.817155
35.6,0.816159
35.7,0.815160
35.8,0.814159
35.9,0.813156
36.0,0.812150
36.1,0.811141
36.2,0.810131
36.3,0.809118
36.4,0.808102
36.5,0.807085
36.6,0.806064
36.7,0.805042
36.8,0.804017
36.9,0.802990
37.0,0.801960
37.1,0.800928
37.2,0.799894
37.3,0.798857
37.4,0.797818
37.5,0.796777
37.6,0.795733
37.7,0.794687
37.8,0.793638
37.9,0.792588
38.0,0.791535
38.1,0.790479
38.2,0.789421
38.3,0.788361
38.4,0.787299
38.5,0.786234
38.6,0.785167
38.7,0.784098
38.8,0.783027
38.9,0.781953
39.0,0.780877
39.1,0.779798
39.2,0.778717
39.3,0.777634
39.4,0.776549
39.5,0.775462
39.6,0.774372
39.7,0.773280
39.8,0.772185
39.9,0.771089
40.0,0.769990
40.1,0.768889
40.2,0.767785
40.3,0.766680
40.4,0.765572
40.5,0.764462
40.6,0.763350
40.7,0.762235
40.8,0.761118
40.9,0.759999
41.0,0.758878
41.1,0.757755
41.2,0.756629
41.3,0.755501
41.4,0.754371
41.5,0.753239
41.6,0.752104
41.7,0.750968
41.8,0.749829
41.9,0.748688
42.0,0.747545
42.1,0.746399
42.2,0.745252
42.3,0.744102
42.4,0.742950
42.5,0.741796
42.6,0.740640
42.7,0.739482
42.8,0.738321
42.9,0.737159
43.0,0.735994
43.1,0.734827
43.2,0.733658
43.3,0.732487
43.4,0.731313
43.5,0.730138
43.6,0.728961
43.7,0.727781
43.8,0.726599
43.9,0.725415
44.0,0.724229
44.1,0.723041
44.2,0.721851
44.3,0.720659
44.4,0.719465
44.5,0.718268
44.6,0.717070
44.7,0.715869
44.8,0.714667
44.9,0.713462
45.0,0.712256
45.1,0.711047
45.2,0.709836
45.3,0.708623
45.4,0.707408
45.5,0.706191
45.6,0.704972
45.7,0.703751
45.8,0.702528
45.9,0.701303
46.0,0.700076
46.1,0.698847
46.2,0.697616
46.3,0.696383
46.4,0.695148
46.5,0.693911
46.6,0.692672
46.7,0.691431
46.8,0.690188
46.9,0.688943
47.0,0.687696
47.1,0.686447
47.2,0.685196
47.3,0.683943
47.4,0.682689
47.5,0.681432
47.6,0.680173
47.7,0.678913
47.8,0.677650
47.9,0.676386
48.0,0.675119
48.1,0.673851
48.2,0.672581
48.3,0.671308
48.4,0.670034
48.5,0.668758
48.6,0.667480
48.7,0.666201
48.8,0.664919
48.9,0.663635
49.0,0.662350
49.1,0.661063
49.2,0.659774
49.3,0.658482
49.4,0.657190
49.5,0.655895
49.6,0.654598
49.7,0.653300
49.8,0.651999
49.9,0.650697
50.0,0.649393
50.1,0.648088
50.2,0.646780
50.3,0.645470
50.4,0.644159
50.5,0.642846
50.6,0.641531
50.7,0.640215
50.8,0.638896
50.9,0.637576
51.0,0.636254
51.1,0.634930
51.2,0.633604
51.3,0.632277
51.4,0.630948
51.5,0.629617
51.6,0.628284
51.7,0.626950
51.8,0.625614
51.9,0.624276
52.0,0.622936
52.1,0.621595
52.2,0.620252
52.3,0.618907
52.4,0.617561
52.5,0.616212
52.6,0.614862
52.7,0.613511
52.8,0.612157
52.9,0.610802
53.0,0.609446
53.1,0.608087
53.2,0.606727
53.3,0.605366
53.4,0.604002
53.5,0.602637
53.6,0.601271
53.7,0.599902
53.8,0.598532
53.9,0.597161
54.0,0.595787
54.1,0.594413
54.2,0.593036
54.3,0.591658
54.4,0.590278
54.5,0.588897
54.6,0.587514
54.7,0.586129
54.8,0.584743
54.9,0.583356
55.0,0.581966
55.1,0.580576
55.2,0.579183
55.3,0.577789
55.4,0.576394
55.5,0.574997
55.6,0.573598
55.7,0.572198
55.8,0.570796
55.9,0.569393
56.0,0.567988
56.1,0.566582
56.2,0.565174
56.3,0.563765
56.4,0.562354
56.5,0.560942
56.6,0.559528
56.7,0.558113
56.8,0.556696
56.9,0.555278
57.0,0.553859
57.1,0.552437
57.2,0.551015
57.3,0.549591
57.4,0.548165
57.5,0.546739
57.6,0.545310
57.7,0.543881
57.8,0.542449
57.9,0.541017
58.0,0.539583
58.1,0.538148
58.2,0.536711
58.3,0.535273
58.4,0.533833
58.5,0.532392
58.6,0.530950
58.7,0.529507
58.8,0.528062
58.9,0.526615
59.0,0.525168
59.1,0.523719
59.2,0.522268
59.3,0.520817
59.4,0.519364
59.5,0.517909
59.6,0.516454
59.7,0.514997
59.8,0.513539
59.9,0.512079
60.0,0.510619
60.1,0.509157
60.2,0.507693
60.3,0.506229
60.4,0.504763
60.5,0.503296
60.6,0.501828
60.7,0.500358
60.8,0.498887
60.9,0.497416
61.0,0.495942
61.1,0.494468
61.2,0.492992
61.3,0.491516
61.4,0.490038
61.5,0.488559
61.6,0.487078
61.7,0.485597
61.8,0.484114
61.9,0.482630
62.0,0.481146
62.1,0.479660
62.2,0.478172
62.3,0.476684
62.4,0.475195
62.5,0.473704
62.6,0.472213
62.7,0.470720
62.8,0.469226
62.9,0.467731
63.0,0.466235
63.1,0.464738
63.2,0.463240
63.3,0.461741
63.4,0.460241
63.5,0.458740
63.6,0.457237
63.7,0.455734
63.8,0.454230
63.9,0.452725
64.0,0.451219
64.1,0.449711
64.2,0.448203
64.3,0.446694
64.4,0.445184
64.5,0.443673
64.6,0.442161
64.7,0.440648
64.8,0.439134
64.9,0.437619
65.0,0.436103
65.1,0.434587
65.2,0.433069
65.3,0.431551
65.4,0.430031
65.5,0.428511
65.6,0.426990
65.7,0.425468
65.8,0.423945
65.9,0.422422
66.0,0.420897
66.1,0.419372
66.2,0.417846
66.3,0.416319
66.4,0.414791
66.5,0.413263
66.6,0.411734
66.7,0.410204
66.8,0.408673
66.9,0.407142
67.0,0.405609
67.1,0.404076
67.2,0.402543
67.3,0.401008
67.4,0.399473
67.5,0.397937
67.6,0.396401
67.7,0.394864
67.8,0.393326
67.9,0.391787
68.0,0.390248
68.1,0.388708
68.2,0.387168
68.3,0.385627
68.4,0.384085
68.5,0.382543
68.6,0.381000
68.7,0.379457
68.8,0.377913
68.9,0.376369
69.0,0.374824
69.1,0.373278
69.2,0.371732
69.3,0.370185
69.4,0.368638
69.5,0.367091
69.6,0.365542
69.7,0.363994
69.8,0.362445
69.9,0.360896
70.0,0.359346
70.1,0.357795
70.2,0.356245
70.3,0.354694
70.4,0.353142
70.5,0.351590
70.6,0.350038
70.7,0.348485
70.8,0.346932
70.9,0.345379
71.0,0.343826
71.1,0.342272
71.2,0.340718
71.3,0.339163
71.4,0.337608
71.5,0.336053
71.6,0.334498
71.7,0.332943
71.8,0.331387
71.9,0.329831
72.0,0.328275
72.1,0.326719
72.2,0.325163
72.3,0.323606
72.4,0.322050
72.5,0.320493
72.6,0.318936
72.7,0.317379
72.8,0.315822
72.9,0.314265
73.0,0.312708
73.1,0.311150
73.2,0.309593
73.3,0.308036
73.4,0.306479
73.5,0.304922
73.6,0.303365
73.7,0.301808
73.8,0.300251
73.9,0.298694
74.0,0.297137
74.1,0.295580
74.2,0.294024
74.3,0.292467
74.4,0.290911
74.5,0.289355
74.6,0.287799
74.7,0.286244
74.8,0.284689
74.9,0.283134
75.0,0.281579
75.1,0.280024
75.2,0.278470
75.3,0.276916
75.4,0.275363
75.5,0.273810
75.6,0.272257
75.7,0.270705
75.8,0.269153
75.9,0.267601
76.0,0.266050
76.1,0.264500
76.2,0.262950
76.3,0.261400
76.4,0.259851
76.5,0.258303
76.6,0.256755
76.7,0.255208
76.8,0.253661
76.9,0.252116
77.0,0.250570
77.1,0.249026
77.2,0.247482
77.3,0.245939
77.4,0.244397
77.5,0.242855
77.6,0.241315
77.7,0.239775
77.8,0.238236
77.9,0.236698
78.0,0.235161
78.1,0.233624
78.2,0.232089
78.3,0.230555
78.4,0.229022
78.5,0.227489
78.6,0.225958
78.7,0.224428
78.8,0.222899
78.9,0.221372
79.0,0.219845
79.1,0.218320
79.2,0.216795
79.3,0.215273
79.4,0.213751
79.5,0.212231
79.6,0.210712
79.7,0.209194
79.8,0.207678
79.9,0.206163
80.0,0.204650
80.1,0.203139
80.2,0.201628
80.3,0.200120
80.4,0.198613
80.5,0.197108
80.6,0.195604
80.7,0.194102
80.8,0.192602
80.9,0.191104
81.0,0.189607
81.1,0.188112
81.2,0.186619
81.3,0.185129
81.4,0.183640
81.5,0.182153
81.6,0.180668
81.7,0.179185
81.8,0.177704
81.9,0.176226
82.0,0.174750
82.1,0.173276
82.2,0.171804
82.3,0.170334
82.4,0.168867
82.5,0.167403
82.6,0.165941
82.7,0.164481
82.8,0.163024
82.9,0.161569
83.0,0.160118
83.1,0.158668
83.2,0.157222
83.3,0.155778
83.4,0.154338
83.5,0.152900
83.6,0.151465
83.7,0.150033
83.8,0.148604
83.9,0.147178
84.0,0.145755
84.1,0.144336
84.2,0.142919
84.3,0.141506
84.4,0.140097
84.5,0.138691
84.6,0.137288
84.7,0.135889
84.8,0.134493
84.9,0.133101
85.0,0.131713
85.1,0.130328
85.2,0.128948
85.3,0.127571
85.4,0.126198
85.5,0.124829
85.6,0.123465
85.7,0.122104
85.8,0.120748
85.9,0.119396
86.0,0.118048
86.1,0.116704
86.2,0.115365
86.3,0.114031
86.4,0.112701
86.5,0.111376
86.6,0.110056
86.7,0.108740
86.8,0.107430
86.9,0.106124
87.0,0.104823
87.1,0.103528
87.2,0.102237
87.3,0.100952
87.4,0.099673
87.5,0.098398
87.6,0.097129
87.7,0.095866
87.8,0.094608
87.9,0.093356
88.0,0.092110
88.1,0.090870
88.2,0.089636
88.3,0.088407
88.4,0.087185
88.5,0.085969
